,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year,Journey_DOW,Dep_HourOfDay
61,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1640,1,5117,9,4,25,6,4,5,4,3,2019,0,Early Morning
62,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,615,1,12524,19,18,0,8,6,45,6,3,2019,2,Early Morning
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,630,1,7191,1,16,30,15,15,0,15,5,2019,2,Noon
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,135,0,3687,9,18,20,7,24,5,24,5,2019,4,Early Morning
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,625,1,5894,21,18,0,10,24,35,24,6,2019,0,Morning
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,170,0,5403,12,18,35,9,24,45,24,4,2019,2,Morning
67,Air India,2019-06-05,Mumbai,Hyderabad,BOM → HYD,90,0,3625,15,18,25,13,5,55,5,6,2019,2,Noon
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,10861,19,18,15,5,21,55,21,5,2019,1,Early Morning
69,IndiGo,2019-12-03,Chennai,Kolkata,MAA → CCU,135,0,6297,15,18,35,13,3,20,3,12,2019,1,Noon
70,Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,85,0,5678,8,18,30,7,6,5,6,1,2019,6,Early Morning
71,Jet Airways,2019-09-03,Banglore,Delhi,BLR → BOM → DEL,1590,1,9134,8,13,15,5,3,45,3,9,2019,1,Early Morning
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,440,1,10791,19,18,0,11,24,40,24,6,2019,0,Morning
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,12819,12,25,35,23,24,5,24,6,2019,0,Night
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,300,1,6893,10,18,5,5,21,5,21,3,2019,3,Early Morning
75,Vistara,2019-09-03,Banglore,Delhi,BLR → DEL,165,0,7240,12,18,35,9,3,50,3,9,2019,1,Morning
76,GoAir,2019-03-04,Banglore,Delhi,BLR → DEL,170,0,3898,14,18,30,11,4,40,4,3,2019,0,Morning
77,IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,90,0,4049,7,18,55,6,4,25,4,3,2019,0,Early Morning
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1145,1,10262,12,16,35,17,15,30,15,6,2019,5,Evening
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,135,0,3332,10,18,35,8,21,20,21,3,2019,3,Early Morning
80,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,890,1,10844,12,10,0,21,6,10,6,9,2019,4,Night
81,Jet Airways,2019-03-24,Banglore,Delhi,BLR → DEL,160,0,7229,22,18,35,19,24,55,24,3,2019,6,Evening
82,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1330,1,13941,4,7,40,6,5,30,5,6,2019,2,Early Morning
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,575,1,5894,21,18,0,11,27,25,27,6,2019,3,Morning
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,600,1,10197,19,18,0,9,18,0,18,5,2019,5,Morning
85,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,1280,1,13712,11,7,25,14,3,5,3,6,2019,0,Noon
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,325,1,5636,7,18,25,2,24,0,24,6,2019,0,late night
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,1125,2,13014,4,7,25,9,6,40,6,6,2019,3,Morning
88,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,740,1,7064,20,18,45,8,4,25,4,1,2019,4,Early Morning
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1080,1,10703,14,25,25,20,24,25,24,5,2019,4,Evening
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,555,1,9646,22,18,30,13,27,15,27,5,2019,0,Noon
91,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,665,1,17057,13,18,20,2,3,15,3,6,2019,0,late night
92,Jet Airways,2019-12-03,Banglore,Delhi,BLR → BOM → DEL,1050,1,13817,10,13,25,16,3,55,3,12,2019,1,Noon
93,Air India,2019-06-03,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,13748,19,18,15,5,3,55,3,6,2019,0,Early Morning
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,155,0,4880,23,18,20,20,21,45,21,4,2019,6,Evening
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,145,0,3540,7,18,40,5,21,15,21,6,2019,4,Early Morning
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,160,0,3257,8,18,35,5,15,55,15,5,2019,2,Early Morning
97,Jet Airways,2019-03-06,Banglore,Delhi,BLR → DEL,180,0,6478,22,18,50,19,6,50,6,3,2019,2,Evening
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,85,0,8040,8,18,30,7,18,5,18,6,2019,1,Early Morning
99,Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,14300,12,13,35,20,6,0,6,12,2019,4,Evening
100,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,740,1,14781,20,18,45,8,15,25,15,5,2019,2,Early Morning
101,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,735,1,14939,8,10,15,20,6,0,6,9,2019,4,Evening
102,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,450,1,10262,4,25,25,20,24,55,24,6,2019,0,Evening
103,Air India,2019-12-05,Kolkata,Banglore,CCU → MAA → BLR,1440,1,6528,14,13,35,14,5,35,5,12,2019,3,Noon
104,Air India,2019-01-05,Banglore,Delhi,BLR → DEL,165,0,6121,8,18,55,6,5,10,5,1,2019,5,Early Morning
105,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,13029,4,19,25,19,18,30,18,5,2019,5,Evening
106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,430,1,11421,18,18,50,11,27,40,27,3,2019,2,Morning
107,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,870,1,7574,19,18,15,4,27,45,27,3,2019,2,late night
108,Air India,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,1820,2,11596,19,10,15,12,5,55,5,9,2019,3,Morning
109,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,15129,19,25,0,23,24,5,24,5,2019,4,Night
110,Jet Airways,2019-03-18,Banglore,Delhi,BLR → BOM → DEL,900,1,13555,5,16,5,14,18,5,18,3,2019,0,Noon
111,IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,175,0,5780,21,18,50,18,4,55,4,12,2019,2,Evening
112,Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,765,1,9397,9,13,5,20,5,20,5,12,2019,3,Evening
113,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,610,1,17024,4,7,25,18,3,15,3,6,2019,0,Evening
114,GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,355,1,5281,12,18,55,7,27,0,27,6,2019,3,Early Morning
115,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,925,1,10348,22,18,30,7,18,5,18,5,2019,5,Early Morning
116,Air India,2019-06-03,Delhi,Cochin,DEL → MAA → COK,965,1,12677,9,7,25,17,3,20,3,6,2019,0,Evening
117,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,610,1,15147,1,4,35,15,3,25,3,3,2019,6,Noon
118,Vistara,2019-12-06,Banglore,Delhi,BLR → DEL,160,0,4668,9,18,40,7,6,0,6,12,2019,4,Early Morning
119,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,715,1,15554,19,18,0,7,5,5,5,9,2019,3,Early Morning
120,SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,160,0,3971,8,18,35,5,4,55,4,9,2019,2,Early Morning
121,Air India,2019-03-05,Mumbai,Hyderabad,BOM → HYD,85,0,3100,16,18,25,15,5,0,5,3,2019,1,Noon
122,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,845,1,9663,10,7,5,20,5,0,5,6,2019,2,Evening
123,Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,1215,1,27430,19,2,15,23,3,0,3,1,2019,3,Night
124,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,145,0,3540,7,18,40,5,5,15,5,12,2019,3,Early Morning
125,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,10676,11,22,10,12,21,0,21,5,2019,1,Morning
126,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1090,1,13044,8,13,15,14,6,5,6,12,2019,4,Noon
127,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,960,1,14388,12,7,0,20,5,0,5,6,2019,2,Evening
128,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,170,0,3943,6,18,50,4,24,0,24,6,2019,0,late night
129,IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,140,0,3597,17,18,5,14,6,45,6,3,2019,2,Noon
130,Air India,2019-03-21,Banglore,Delhi,BLR → MAA → DEL,480,1,5932,19,18,50,11,21,50,21,3,2019,3,Morning
131,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1015,1,10262,4,16,25,11,15,30,15,6,2019,5,Morning
132,Vistara,2019-12-05,Delhi,Cochin,DEL → COK,190,0,6216,17,18,50,14,5,40,5,12,2019,3,Noon
133,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,165,0,4804,23,18,10,20,15,25,15,6,2019,5,Evening
134,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,840,1,14067,1,22,30,11,21,30,21,5,2019,1,Morning
135,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,1430,2,15129,19,19,0,19,18,10,18,5,2019,5,Evening
136,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,13376,4,7,25,6,6,45,6,6,2019,3,Early Morning
137,Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,10441,19,28,15,22,27,0,27,6,2019,3,Night
138,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,165,0,4030,8,18,45,6,24,0,24,5,2019,4,Early Morning
139,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,650,1,17024,18,18,50,8,3,0,3,3,2019,6,Early Morning
140,Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,480,1,13017,1,10,30,17,4,30,4,9,2019,2,Evening
141,GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,495,1,6686,7,7,45,23,6,30,6,6,2019,3,Night
142,IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,325,1,5636,7,18,25,2,15,0,15,6,2019,5,late night
143,IndiGo,2019-09-06,Delhi,Cochin,DEL → HYD → COK,515,1,6442,16,18,10,7,6,35,6,9,2019,4,Early Morning
144,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,710,1,9486,0,22,55,13,21,5,21,5,2019,1,Noon
145,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1655,1,10844,23,22,35,20,21,0,21,5,2019,1,Evening
146,Jet Airways,2019-03-06,Delhi,Cochin,DEL → ATQ → BOM → COK,505,2,15318,4,4,25,20,6,0,6,3,2019,2,Evening
147,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1255,1,5117,9,4,25,12,4,30,4,3,2019,0,Morning
148,IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,290,1,6147,20,18,0,15,24,10,24,6,2019,0,Noon
149,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,490,1,7005,21,18,0,12,6,50,6,9,2019,4,Morning
150,SpiceJet,2019-03-04,Kolkata,Banglore,CCU → BLR,140,0,3873,0,4,40,22,4,20,4,3,2019,0,Night
151,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,1465,2,9270,18,22,50,18,21,25,21,3,2019,3,Evening
152,GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,170,0,3898,14,18,30,11,27,40,27,6,2019,3,Morning
153,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,740,1,14781,20,18,45,8,5,25,5,12,2019,3,Early Morning
154,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,735,1,8586,8,25,15,20,24,0,24,5,2019,4,Evening
155,Air India,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,1415,2,10697,7,10,55,8,5,20,5,9,2019,3,Early Morning
156,Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,14300,12,28,35,20,27,0,27,6,2019,3,Evening
157,IndiGo,2019-03-03,Banglore,Delhi,BLR → DEL,170,0,8855,21,18,45,18,3,55,3,3,2019,6,Evening
158,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1545,1,10844,18,13,15,16,5,30,5,12,2019,3,Noon
159,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1570,1,17024,4,7,25,2,3,15,3,6,2019,0,late night
160,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1730,1,9314,14,2,25,9,5,35,5,1,2019,5,Morning
161,IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,165,0,4777,3,18,25,0,24,40,24,3,2019,6,late night
162,Air India,2019-09-06,Kolkata,Banglore,CCU → BBI → BLR,1515,1,7662,13,10,15,12,6,0,6,9,2019,4,Morning
163,IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,560,1,6442,16,18,10,6,5,50,5,9,2019,3,Early Morning
164,SpiceJet,2019-12-06,Delhi,Cochin,DEL → PNQ → COK,270,1,5264,13,18,15,8,6,45,6,12,2019,4,Early Morning
165,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,925,1,12898,4,28,25,13,27,0,27,5,2019,0,Noon
166,Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,90,0,6092,15,18,25,13,3,55,3,3,2019,6,Noon
167,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,160,0,3311,8,18,35,5,21,55,21,5,2019,1,Early Morning
168,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,550,1,6540,4,28,25,19,27,15,27,3,2019,2,Evening
169,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,165,0,3419,4,18,15,1,27,30,27,5,2019,0,late night
170,Jet Airways,2019-03-04,Delhi,Cochin,DEL → BOM → COK,1355,1,5177,12,4,35,14,4,0,4,3,2019,0,Noon
171,Air India,2019-04-18,Delhi,Cochin,DEL → COK,185,0,8246,21,18,10,18,18,5,18,4,2019,3,Evening
172,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,690,1,14676,21,18,5,9,6,35,6,9,2019,4,Morning
173,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,570,1,13587,21,18,0,11,27,30,27,6,2019,3,Morning
174,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,730,1,9663,9,7,20,21,5,10,5,6,2019,2,Night
175,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1055,1,13044,10,13,5,16,6,30,6,12,2019,4,Noon
176,IndiGo,2019-03-04,Delhi,Cochin,DEL → BOM → COK,305,1,5073,1,4,30,20,4,25,4,3,2019,0,Evening
177,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1550,1,9345,18,22,50,17,21,0,21,5,2019,1,Evening
178,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1200,1,9663,10,7,5,14,5,5,5,6,2019,2,Noon
179,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,780,1,14277,21,18,0,8,21,0,21,5,2019,1,Early Morning
180,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1105,1,10262,4,2,25,10,6,0,6,1,2019,6,Morning
181,Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,90,0,5678,21,18,5,19,27,35,27,3,2019,2,Evening
182,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,570,1,13727,1,16,30,16,15,0,15,5,2019,2,Noon
183,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,960,1,9663,12,7,0,20,5,0,5,6,2019,2,Evening
184,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,140,0,3858,17,18,5,14,5,45,5,12,2019,3,Noon
185,SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,270,1,4812,13,18,15,8,24,45,24,6,2019,0,Early Morning
186,IndiGo,2019-06-27,Delhi,Cochin,DEL → LKO → COK,345,1,5775,3,28,35,21,27,50,27,6,2019,3,Night
187,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1450,1,10539,9,7,45,9,6,35,6,6,2019,3,Morning
188,IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,155,0,4804,18,18,5,15,6,30,6,3,2019,2,Noon
189,Air Asia,2019-12-06,Banglore,Delhi,BLR → DEL,165,0,3383,13,18,55,11,6,10,6,12,2019,4,Morning
190,IndiGo,2019-03-03,Banglore,Delhi,BLR → HYD → DEL,295,1,8738,17,18,5,12,3,10,3,3,2019,6,Morning
191,Air India,2019-03-27,Delhi,Cochin,DEL → TRV → COK,1535,1,7165,6,28,50,5,27,15,27,3,2019,2,Early Morning
192,IndiGo,2019-06-24,Delhi,Cochin,DEL → HYD → COK,380,1,6412,22,18,30,16,24,10,24,6,2019,0,Noon
193,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,185,0,8016,22,18,0,18,27,55,27,6,2019,3,Evening
194,Jet Airways,2019-12-03,Banglore,Delhi,BLR → BOM → DEL,1120,1,11087,15,13,15,20,3,35,3,12,2019,1,Evening
195,SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,135,0,3543,12,18,0,9,27,45,27,6,2019,3,Morning
196,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,730,1,12471,4,13,40,16,6,30,6,12,2019,4,Noon
197,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1165,1,10262,4,25,25,9,24,0,24,6,2019,0,Morning
198,Air India,2019-03-18,Banglore,Delhi,BLR → DEL,170,0,4441,16,18,10,13,18,20,18,3,2019,0,Noon
