,Airline,Destination,Duration,Total_Stops,Price,Dep_Hour,Dep_Day,Dep_Min,Journey_DOW,Source_Banglore,Source_Kolkata,Source_Delhi,Source_Chennai,Source_Mumbai
77,3,1,90,0,4049.0,6,4,25,0,0,0,0,0,1
78,11,4,1145,1,10262.0,17,15,30,5,0,0,1,0,0
79,1,0,135,0,3332.0,8,21,20,3,0,0,0,1,0
80,11,3,890,1,10844.0,21,6,10,4,0,1,0,0,0
81,11,2,160,0,7229.0,19,24,55,6,1,0,0,0,0
82,11,3,1330,1,13941.0,6,5,30,2,0,1,0,0,0
83,3,4,575,1,5894.0,11,27,25,3,0,0,1,0,0
84,9,4,600,1,10197.0,9,18,0,5,0,0,1,0,0
85,11,2,1280,1,13712.0,14,3,5,0,1,0,0,0,0
86,3,4,325,1,5636.0,2,24,0,0,0,0,1,0,0
87,11,4,1125,2,13014.0,9,6,40,3,0,0,1,0,0
88,11,3,740,1,7064.0,8,4,25,4,0,1,0,0,0
89,11,3,1080,1,10703.0,20,24,25,4,0,1,0,0,0
90,9,4,555,1,9646.0,13,27,15,0,0,0,1,0,0
91,9,4,665,1,17057.0,2,3,15,0,0,0,1,0,0
92,11,2,1050,1,13817.0,16,3,55,1,1,0,0,0,0
93,8,4,800,2,13748.0,5,3,55,0,0,0,1,0,0
94,8,3,155,0,4880.0,20,21,45,6,0,1,0,0,0
95,3,0,145,0,3540.0,5,21,15,4,0,0,0,1,0
96,1,2,160,0,3257.0,5,15,55,2,1,0,0,0,0
97,11,2,180,0,6478.0,19,6,50,2,1,0,0,0,0
98,11,1,85,0,8040.0,7,18,5,1,0,0,0,0,1
99,11,4,995,2,14300.0,20,6,0,4,0,0,1,0,0
100,11,3,740,1,14781.0,8,15,25,2,0,1,0,0,0
101,11,3,735,1,14939.0,20,6,0,4,0,1,0,0,0
102,11,4,450,1,10262.0,20,24,55,0,0,0,1,0,0
103,8,3,1440,1,6528.0,14,5,35,3,0,1,0,0,0
104,8,2,165,0,6121.0,6,5,10,5,1,0,0,0,0
105,11,4,535,2,13029.0,19,18,30,5,0,0,1,0,0
106,9,4,430,1,11421.0,11,27,40,2,0,0,1,0,0
107,9,4,870,1,7574.0,4,27,45,2,0,0,1,0,0
108,8,4,1820,2,11596.0,12,5,55,3,0,0,1,0,0
109,11,4,1195,2,15129.0,23,24,5,4,0,0,1,0,0
110,11,2,900,1,13555.0,14,18,5,0,1,0,0,0,0
111,3,2,175,0,5780.0,18,4,55,2,1,0,0,0,0
112,5,3,765,1,9397.0,20,5,20,3,0,1,0,0,0
113,11,4,610,1,17024.0,18,3,15,0,0,0,1,0,0
114,4,4,355,1,5281.0,7,27,0,3,0,0,1,0,0
115,9,4,925,1,10348.0,7,18,5,5,0,0,1,0,0
116,8,4,965,1,12677.0,17,3,20,0,0,0,1,0,0
117,9,4,610,1,15147.0,15,3,25,6,0,0,1,0,0
118,5,2,160,0,4668.0,7,6,0,4,1,0,0,0,0
119,11,4,715,1,15554.0,7,5,5,3,0,0,1,0,0
120,1,2,160,0,3971.0,5,4,55,2,1,0,0,0,0
121,8,1,85,0,3100.0,15,5,0,1,0,0,0,0,1
122,11,3,845,1,9663.0,20,5,0,2,0,1,0,0,0
123,8,4,1215,1,27430.0,23,3,0,3,0,0,1,0,0
124,3,0,145,0,3540.0,5,5,15,3,0,0,0,1,0
125,8,3,1390,2,10676.0,12,21,0,1,0,1,0,0,0
126,11,3,1090,1,13044.0,14,6,5,4,0,1,0,0,0
127,11,3,960,1,14388.0,20,5,0,2,0,1,0,0,0
128,3,2,170,0,3943.0,4,24,0,0,1,0,0,0,0
129,3,0,140,0,3597.0,14,6,45,2,0,0,0,1,0
130,8,2,480,1,5932.0,11,21,50,3,1,0,0,0,0
131,11,4,1015,1,10262.0,11,15,30,5,0,0,1,0,0
132,5,4,190,0,6216.0,14,5,40,3,0,0,1,0,0
133,3,3,165,0,4804.0,20,15,25,5,0,1,0,0,0
134,9,4,840,1,14067.0,11,21,30,1,0,0,1,0,0
135,11,4,1430,2,15129.0,19,18,10,5,0,0,1,0,0
136,11,4,1300,2,13376.0,6,6,45,3,0,0,1,0,0
137,8,4,1275,2,10441.0,22,27,0,3,0,0,1,0,0
138,11,2,165,0,4030.0,6,24,0,4,1,0,0,0,0
139,11,4,650,1,17024.0,8,3,0,6,0,0,1,0,0
140,9,4,480,1,13017.0,17,4,30,2,0,0,1,0,0
141,4,3,495,1,6686.0,23,6,30,3,0,1,0,0,0
142,3,4,325,1,5636.0,2,15,0,5,0,0,1,0,0
143,3,4,515,1,6442.0,7,6,35,4,0,0,1,0,0
144,9,4,710,1,9486.0,13,21,5,1,0,0,1,0,0
145,11,3,1655,1,10844.0,20,21,0,1,0,1,0,0,0
146,11,4,505,2,15318.0,20,6,0,2,0,0,1,0,0
147,8,4,1255,1,5117.0,12,4,30,0,0,0,1,0,0
148,3,4,290,1,6147.0,15,24,10,0,0,0,1,0,0
149,9,4,490,1,7005.0,12,6,50,4,0,0,1,0,0
150,1,3,140,0,3873.0,22,4,20,0,0,1,0,0,0
151,11,4,1465,2,9270.0,18,21,25,3,0,0,1,0,0
152,4,2,170,0,3898.0,11,27,40,3,1,0,0,0,0
153,11,3,740,1,14781.0,8,5,25,3,0,1,0,0,0
154,11,3,735,1,8586.0,20,24,0,4,0,1,0,0,0
155,8,3,1415,2,10697.0,8,5,20,3,0,1,0,0,0
156,11,4,995,2,14300.0,20,27,0,3,0,0,1,0,0
157,3,2,170,0,8855.0,18,3,55,6,1,0,0,0,0
158,11,3,1545,1,10844.0,16,5,30,3,0,1,0,0,0
159,11,4,1570,1,17024.0,2,3,15,0,0,0,1,0,0
160,11,3,1730,1,9314.0,9,5,35,5,0,1,0,0,0
161,3,2,165,0,4777.0,0,24,40,6,1,0,0,0,0
162,8,3,1515,1,7662.0,12,6,0,4,0,1,0,0,0
163,3,4,560,1,6442.0,6,5,50,3,0,0,1,0,0
164,1,4,270,1,5264.0,8,6,45,4,0,0,1,0,0
165,11,4,925,1,12898.0,13,27,0,0,0,0,1,0,0
166,8,1,90,0,6092.0,13,3,55,6,0,0,0,0,1
167,1,2,160,0,3311.0,5,21,55,1,1,0,0,0,0
168,11,4,550,1,6540.0,19,27,15,2,0,0,1,0,0
169,3,2,165,0,3419.0,1,27,30,0,1,0,0,0,0
170,11,4,1355,1,5177.0,14,4,0,0,0,0,1,0,0
171,8,4,185,0,8246.0,18,18,5,3,0,0,1,0,0
172,11,3,690,1,14676.0,9,6,35,4,0,1,0,0,0
173,9,4,570,1,13587.0,11,27,30,3,0,0,1,0,0
174,11,3,730,1,9663.0,21,5,10,2,0,1,0,0,0
175,11,3,1055,1,13044.0,16,6,30,4,0,1,0,0,0
176,3,4,305,1,5073.0,20,4,25,0,0,0,1,0,0
177,5,3,1550,1,9345.0,17,21,0,1,0,1,0,0,0
178,11,3,1200,1,9663.0,14,5,5,2,0,1,0,0,0
179,9,4,780,1,14277.0,8,21,0,1,0,0,1,0,0
180,11,4,1105,1,10262.0,10,6,0,6,0,0,1,0,0
181,11,1,90,0,5678.0,19,27,35,2,0,0,0,0,1
182,9,4,570,1,13727.0,16,15,0,2,0,0,1,0,0
183,11,3,960,1,9663.0,20,5,0,2,0,1,0,0,0
184,3,0,140,0,3858.0,14,5,45,3,0,0,0,1,0
185,1,4,270,1,4812.0,8,24,45,0,0,0,1,0,0
186,3,4,345,1,5775.0,21,27,50,3,0,0,1,0,0
187,11,3,1450,1,10539.0,9,6,35,3,0,1,0,0,0
188,3,3,155,0,4804.0,15,6,30,2,0,1,0,0,0
189,2,2,165,0,3383.0,11,6,10,4,1,0,0,0,0
190,3,2,295,1,8738.0,12,3,10,6,1,0,0,0,0
191,8,4,1535,1,7165.0,5,27,15,2,0,0,1,0,0
192,3,4,380,1,6412.0,16,24,10,0,0,0,1,0,0
193,11,2,185,0,8016.0,18,27,55,3,1,0,0,0,0
194,11,2,1120,1,11087.0,20,3,35,1,1,0,0,0,0
195,1,0,135,0,3543.0,9,27,45,3,0,0,0,1,0
196,11,3,730,1,12471.0,16,6,30,4,0,1,0,0,0
197,11,4,1165,1,10262.0,9,24,0,0,0,0,1,0,0
198,8,2,170,0,4441.0,13,18,20,0,1,0,0,0,0
199,9,4,505,1,12537.0,7,27,5,2,0,0,1,0,0
200,4,3,555,1,10091.0,22,24,25,6,0,1,0,0,0
201,8,2,170,0,6961.0,21,6,5,2,1,0,0,0,0
202,3,4,195,0,5013.0,5,24,35,2,0,0,1,0,0
203,8,4,170,0,6934.0,5,18,10,5,0,0,1,0,0
204,9,4,740,1,10877.0,6,6,40,2,0,0,1,0,0
205,11,2,175,0,7229.0,15,18,15,3,1,0,0,0,0
206,3,4,575,1,7048.0,16,27,0,2,0,0,1,0,0
207,5,2,155,0,4878.0,17,27,0,3,1,0,0,0,0
208,11,3,570,1,10844.0,14,21,5,1,0,1,0,0,0
209,11,4,1760,2,15129.0,23,18,5,5,0,0,1,0,0
210,3,2,175,0,3943.0,0,5,30,3,1,0,0,0,0
211,1,4,315,1,5583.0,6,6,5,3,0,0,1,0,0
212,9,4,545,1,9646.0,7,6,5,3,0,0,1,0,0
213,9,4,645,1,7677.0,8,6,30,2,0,0,1,0,0
214,3,4,295,1,6842.0,5,6,10,6,0,0,1,0,0
215,11,1,90,0,4995.0,8,24,45,0,0,0,0,0,1
216,5,3,700,1,9555.0,7,6,10,4,0,1,0,0,0
217,3,2,165,0,4077.0,1,6,30,6,1,0,0,0,0
218,11,2,175,0,7229.0,15,5,15,3,1,0,0,0,0
219,9,4,600,1,12192.0,9,6,0,4,0,0,1,0,0
220,8,2,165,0,5911.0,10,4,0,2,1,0,0,0,0
221,8,4,615,1,8372.0,9,6,0,4,0,0,1,0,0
222,11,1,85,0,4995.0,7,18,10,0,0,0,0,0,1
223,9,4,555,1,14323.0,10,5,0,3,0,0,1,0,0
224,11,4,1375,2,13014.0,5,6,30,4,0,0,1,0,0
225,8,4,1730,2,13591.0,14,6,25,3,0,0,1,0,0
226,11,4,2245,2,18799.0,5,3,25,6,0,0,1,0,0
227,3,2,170,0,3943.0,23,27,30,5,1,0,0,0,0
228,1,1,90,0,1965.0,5,21,45,1,0,0,0,0,1
229,11,1,90,0,4995.0,10,27,20,0,0,0,0,0,1
230,8,3,1540,1,14641.0,16,24,50,6,0,1,0,0,0
231,8,3,155,0,4460.0,20,4,45,2,0,1,0,0,0
232,8,4,375,1,10191.0,13,18,0,5,0,0,1,0,0
233,11,4,1050,1,13843.0,2,3,15,1,0,0,1,0,0
234,3,4,345,1,6349.0,21,5,50,5,0,0,1,0,0
235,2,3,155,0,4409.0,10,5,20,5,0,1,0,0,0
236,11,4,1530,1,17024.0,18,3,15,0,0,0,1,0,0
237,9,4,835,1,13727.0,7,18,5,5,0,0,1,0,0
238,3,2,175,0,8855.0,18,15,25,4,1,0,0,0,0
239,9,4,615,1,12524.0,8,24,45,0,0,0,1,0,0
240,11,2,520,1,13555.0,11,18,40,0,1,0,0,0,0
241,11,3,330,1,10844.0,6,6,30,3,0,1,0,0,0
242,9,4,720,1,13587.0,9,6,0,4,0,0,1,0,0
243,1,0,135,0,3543.0,9,6,45,4,0,0,0,1,0
244,5,0,135,0,4842.0,7,18,5,0,0,0,0,1,0
245,3,2,170,0,3943.0,23,24,30,2,1,0,0,0,0
246,11,4,550,1,10577.0,19,6,15,4,0,0,1,0,0
247,3,4,625,1,6979.0,10,15,35,2,0,0,1,0,0
248,5,0,140,0,11982.0,17,27,45,3,0,0,0,1,0
249,1,4,270,1,5264.0,8,6,45,3,0,0,1,0,0
250,5,4,190,0,8001.0,6,3,0,6,0,0,1,0,0
251,8,4,1410,2,10651.0,19,6,45,6,0,0,1,0,0
252,11,3,1640,1,10844.0,16,24,30,4,0,1,0,0,0
253,9,4,755,1,6601.0,9,27,45,2,0,0,1,0,0
254,8,4,1455,1,6587.0,19,21,0,3,0,0,1,0,0
255,1,1,80,0,3173.0,13,21,10,3,0,0,0,0,1
256,8,2,165,0,5228.0,10,5,0,3,1,0,0,0,0
257,11,2,180,0,5769.0,7,21,10,4,1,0,0,0,0
258,11,4,660,1,14714.0,8,6,0,3,0,0,1,0,0
259,11,4,810,2,13014.0,5,6,30,2,0,0,1,0,0
260,3,2,170,0,3359.0,22,6,10,2,1,0,0,0,0
261,4,2,175,0,6722.0,20,3,55,6,1,0,0,0,0
262,3,3,165,0,4462.0,9,18,35,0,0,1,0,0,0
263,3,4,675,1,6171.0,4,3,55,1,0,0,1,0,0
264,8,3,875,2,12303.0,5,21,50,1,0,1,0,0,0
265,9,4,835,1,7695.0,11,21,40,3,0,0,1,0,0
266,3,4,845,1,5684.0,11,24,25,0,0,0,1,0,0
267,8,3,905,1,8366.0,16,6,50,4,0,1,0,0,0
268,8,0,135,0,19630.0,11,3,40,3,0,0,0,1,0
269,11,2,900,1,13502.0,14,3,5,0,1,0,0,0,0
270,11,3,775,1,14781.0,21,5,10,5,0,1,0,0,0
271,9,4,540,1,6513.0,7,6,10,4,0,0,1,0,0
272,8,4,735,1,9929.0,7,6,0,6,0,0,1,0,0
273,9,4,460,2,18275.0,17,6,50,3,0,0,1,0,0
274,8,4,1640,1,4487.0,6,4,5,2,0,0,1,0,0
275,3,1,85,0,2754.0,21,15,20,4,0,0,0,0,1
276,8,1,80,0,2575.0,6,27,20,2,0,0,0,0,1
277,1,3,330,1,8224.0,15,6,55,4,0,1,0,0,0
278,8,4,705,1,8991.0,20,3,30,1,0,0,1,0,0
279,3,4,195,0,5000.0,5,24,35,0,0,0,1,0,0
280,11,3,1495,1,8529.0,18,6,55,4,0,1,0,0,0
281,8,4,1640,1,14042.0,6,3,5,6,0,0,1,0,0
282,11,2,175,0,4030.0,11,24,10,4,1,0,0,0,0
283,11,3,1025,1,10844.0,18,6,55,3,0,1,0,0,0
284,3,3,160,0,4804.0,21,5,25,2,0,1,0,0,0
285,9,4,480,1,7308.0,17,27,30,0,0,0,1,0,0
286,3,2,180,0,4823.0,16,5,55,3,1,0,0,0,0
287,11,4,1655,1,10262.0,9,24,0,0,0,0,1,0,0
288,11,4,450,1,12898.0,20,27,55,0,0,0,1,0,0
289,8,2,1375,2,12778.0,17,3,25,1,1,0,0,0,0
290,3,4,515,1,14871.0,4,3,45,6,0,0,1,0,0
291,8,4,1795,2,8708.0,13,21,20,3,0,0,1,0,0
292,11,3,1335,1,10844.0,20,6,0,3,0,1,0,0,0
293,1,1,80,0,4129.0,5,3,45,0,0,0,0,0,1
294,3,3,160,0,4804.0,21,18,25,5,0,1,0,0,0
295,11,2,180,0,7229.0,8,5,20,2,1,0,0,0,0
296,11,2,730,1,7832.0,7,21,0,3,1,0,0,0,0
297,1,0,155,0,3859.0,9,18,30,0,0,0,0,1,0
298,9,4,705,1,9001.0,7,6,30,3,0,0,1,0,0
299,5,2,155,0,4878.0,17,5,0,3,1,0,0,0,0
300,3,1,90,0,2754.0,2,5,35,1,0,0,0,0,1
301,5,2,160,0,4668.0,7,27,0,3,1,0,0,0,0
302,2,3,155,0,5216.0,10,5,20,3,0,1,0,0,0
303,11,4,1375,2,10368.0,5,6,30,3,0,0,1,0,0
304,3,4,880,2,8146.0,6,3,40,1,0,0,1,0,0
305,11,4,925,1,12242.0,13,27,0,2,0,0,1,0,0
306,11,2,435,1,9134.0,8,15,0,4,1,0,0,0,0
307,8,4,1210,2,10939.0,13,6,15,3,0,0,1,0,0
308,8,4,1245,2,11753.0,10,6,55,3,0,0,1,0,0
309,1,3,150,0,4174.0,17,24,10,2,0,1,0,0,0
310,11,3,1430,1,10844.0,20,21,0,1,0,1,0,0,0
311,11,4,1620,1,14714.0,16,6,0,2,0,0,1,0,0
312,11,3,330,1,9899.0,6,6,30,4,0,1,0,0,0
313,3,4,710,1,14871.0,9,3,10,6,0,0,1,0,0
314,3,0,135,0,7295.0,13,3,20,0,0,0,0,1,0
315,8,4,1470,2,13465.0,18,6,45,3,0,0,1,0,0
316,1,0,140,0,3543.0,17,21,45,1,0,0,0,1,0
317,9,4,390,1,7198.0,19,27,0,3,0,0,1,0,0
318,11,4,1225,1,10262.0,8,6,0,6,0,0,1,0,0
319,3,3,155,0,4148.0,15,15,20,4,0,1,0,0,0
320,11,2,175,0,8016.0,15,27,15,3,1,0,0,0,0
321,11,4,335,1,10262.0,22,6,50,4,0,0,1,0,0
322,1,3,150,0,3841.0,14,15,55,5,0,1,0,0,0
323,11,2,885,1,11507.0,9,3,45,1,1,0,0,0,0
324,11,3,740,1,14781.0,8,5,25,5,0,1,0,0,0
325,11,4,1530,1,16079.0,17,27,30,0,0,0,1,0,0
326,11,4,335,1,12898.0,22,27,50,0,0,0,1,0,0
327,9,4,705,1,15353.0,7,3,30,0,0,0,1,0,0
328,3,2,175,0,7303.0,18,24,25,6,1,0,0,0,0
329,1,3,340,1,6197.0,15,24,5,6,0,1,0,0,0
330,8,3,245,1,8996.0,9,6,10,4,0,1,0,0,0
331,3,4,480,1,6528.0,14,21,20,3,0,0,1,0,0
332,4,2,165,0,4239.0,20,4,55,2,1,0,0,0,0
333,3,3,160,0,4148.0,20,3,25,1,0,1,0,0,0
334,1,2,175,0,3971.0,21,24,10,4,1,0,0,0,0
335,2,3,955,1,5192.0,7,5,35,2,0,1,0,0,0
336,11,4,1390,2,9483.0,13,4,25,2,0,0,1,0,0
337,11,4,440,2,18804.0,11,6,40,2,0,0,1,0,0
338,8,4,170,0,5201.0,5,18,10,1,0,0,1,0,0
339,11,4,450,1,16079.0,11,27,30,0,0,0,1,0,0
340,11,2,180,0,7229.0,19,15,50,5,1,0,0,0,0
341,9,4,465,1,6795.0,17,27,45,0,0,0,1,0,0
342,11,3,1520,1,10953.0,9,5,35,3,0,1,0,0,0
343,9,4,625,2,15965.0,15,24,5,0,0,0,1,0,0
344,8,4,1820,2,9968.0,12,4,55,2,0,0,1,0,0
345,3,3,155,0,4804.0,22,6,15,3,0,1,0,0,0
346,11,4,540,1,16079.0,10,27,0,0,0,0,1,0,0
347,11,4,910,2,11507.0,21,6,25,4,0,0,1,0,0
348,8,3,1700,2,11542.0,9,6,25,4,0,1,0,0,0
349,11,2,180,0,7229.0,17,24,45,2,1,0,0,0,0
350,11,2,165,0,4544.0,6,27,0,5,1,0,0,0,0
351,3,4,295,1,6496.0,5,15,10,2,0,0,1,0,0
352,3,3,160,0,4804.0,21,15,25,5,0,1,0,0,0
353,8,2,1330,1,13439.0,11,3,5,3,1,0,0,0,0
354,11,4,610,1,6540.0,18,27,15,2,0,0,1,0,0
355,3,2,170,0,4591.0,23,6,30,6,1,0,0,0,0
356,3,2,260,1,4437.0,16,18,15,0,1,0,0,0,0
357,2,4,660,1,6151.0,20,21,10,3,0,0,1,0,0
358,11,2,180,0,7754.0,17,21,45,4,1,0,0,0,0
359,11,4,1355,1,10262.0,14,24,0,0,0,0,1,0,0
360,11,2,185,0,8016.0,18,6,55,4,1,0,0,0,0
361,1,3,160,0,4781.0,6,24,55,6,0,1,0,0,0
362,5,2,170,0,4668.0,11,27,30,3,1,0,0,0,0
363,8,2,1265,1,14594.0,11,3,50,0,1,0,0,0,0
364,11,3,710,1,14231.0,16,24,55,6,0,1,0,0,0
365,8,4,1535,1,8425.0,5,15,15,2,0,0,1,0,0
366,9,4,925,1,9646.0,7,6,5,4,0,0,1,0,0
367,3,0,145,0,7295.0,14,3,40,6,0,0,0,1,0
368,2,3,220,1,5162.0,6,4,50,2,0,1,0,0,0
369,3,2,175,0,6860.0,18,3,25,1,1,0,0,0,0
370,5,4,190,0,6216.0,6,15,0,0,0,0,1,0,0
371,2,3,710,1,5192.0,7,24,35,4,0,1,0,0,0
372,3,2,170,0,4823.0,20,4,0,2,1,0,0,0,0
373,1,2,170,0,3919.0,9,4,30,0,1,0,0,0,0
374,3,1,90,0,2754.0,19,6,5,2,0,0,0,0,1
375,9,4,690,1,9315.0,7,5,30,3,0,0,1,0,0
376,9,4,530,1,11667.0,10,27,0,2,0,0,1,0,0
377,11,3,1215,1,6224.0,8,6,25,4,0,1,0,0,0
378,8,3,1210,2,13349.0,9,24,25,6,0,1,0,0,0
379,11,2,965,1,11087.0,16,18,55,0,1,0,0,0,0
380,9,4,755,1,15603.0,13,3,0,0,0,0,1,0,0
381,11,4,1025,2,15129.0,19,5,30,3,0,0,1,0,0
382,3,2,180,0,4823.0,16,4,55,2,1,0,0,0,0
383,5,3,930,1,8452.0,7,5,10,5,0,1,0,0,0
384,9,4,690,1,12524.0,7,6,30,3,0,0,1,0,0
385,1,0,140,0,3384.0,17,27,45,2,0,0,0,1,0
386,11,4,1425,1,10262.0,19,6,15,6,0,0,1,0,0
387,1,1,90,0,1965.0,13,18,15,1,0,0,0,0,1
388,3,3,155,0,4804.0,22,18,15,5,0,1,0,0,0
389,11,4,1485,1,16079.0,18,27,15,0,0,0,1,0,0
390,11,4,1295,2,13292.0,21,6,25,6,0,0,1,0,0
391,2,4,330,1,6751.0,7,5,55,3,0,0,1,0,0
392,8,4,735,1,8669.0,7,15,0,2,0,0,1,0,0
393,3,4,485,1,14871.0,17,3,30,6,0,0,1,0,0
394,11,4,300,1,12898.0,14,21,0,1,0,0,1,0,0
395,1,2,170,0,3919.0,9,6,30,3,1,0,0,0,0
396,9,4,385,1,8372.0,12,3,50,3,0,0,1,0,0
397,3,0,140,0,3597.0,19,6,35,2,0,0,0,1,0
398,8,2,165,0,10741.0,17,3,0,1,1,0,0,0,0
399,8,3,765,2,11432.0,16,6,50,3,0,1,0,0,0
400,11,2,950,1,11087.0,18,3,55,1,1,0,0,0,0
401,11,4,1620,2,13292.0,9,6,35,2,0,0,1,0,0
402,8,4,1585,3,10493.0,5,15,15,5,0,0,1,0,0
403,4,2,175,0,7631.0,7,3,45,1,1,0,0,0,0
404,8,4,1490,2,13381.0,6,6,50,3,0,0,1,0,0
405,11,3,520,1,13731.0,20,6,0,3,0,1,0,0,0
406,8,4,1545,2,11911.0,5,21,55,1,0,0,1,0,0
407,3,2,170,0,4591.0,23,18,30,3,1,0,0,0,0
408,9,4,375,1,14848.0,13,6,0,2,0,0,1,0,0
409,9,4,630,1,8266.0,8,6,45,4,0,0,1,0,0
410,8,4,1560,2,12392.0,17,18,15,5,0,0,1,0,0
411,11,3,1025,1,13044.0,18,6,55,4,0,1,0,0,0
412,11,4,1280,1,12898.0,7,21,5,1,0,0,1,0,0
413,11,4,335,1,12242.0,22,21,50,3,0,0,1,0,0
414,3,2,170,0,3943.0,10,18,10,5,1,0,0,0,0
